epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,4.0256,2.095343,21.7821,1.936251,26.4200
2,3.6604,1.838733,29.0301,1.766866,30.5400
3,3.7512,1.617333,36.2507,1.514143,39.1400
4,3.6304,1.526252,41.0657,1.432556,43.8000
5,3.6179,1.454827,44.4657,1.348734,48.3600
6,3.7637,1.383177,48.2062,1.267141,51.0400
7,3.7049,1.313473,50.8140,1.188968,54.1400
8,3.5185,1.248446,53.3854,1.110391,57.0000
9,3.5391,1.145320,57.6504,0.959816,64.0400
10,3.7618,1.008738,63.2485,0.806071,70.8800
11,3.5226,0.897548,68.0252,0.710068,74.8800
12,3.7323,0.810233,71.7712,0.637210,77.7400
13,3.5803,0.729754,75.0382,0.561488,81.2000
14,3.7694,0.669491,77.4876,0.501666,83.5000
15,3.5349,0.624509,79.3761,0.454657,84.8200
16,3.5953,0.585571,80.5634,0.423481,86.2000
17,3.5976,0.550017,81.9948,0.401679,86.7200
18,3.6030,0.521199,82.9218,0.370122,87.6000
19,3.4582,0.496292,83.8596,0.355641,88.4600
20,3.4937,0.482735,84.2457,0.336604,88.9800
21,3.6082,0.463512,84.9505,0.321331,89.3800
22,3.6581,0.445136,85.6953,0.304420,90.1600
23,3.6337,0.435449,85.9484,0.296055,90.3200
24,3.6010,0.424498,86.3618,0.288473,90.5600
25,3.7093,0.410736,86.6623,0.281737,90.8400
26,3.5509,0.404136,87.0010,0.270924,91.0400
27,3.5471,0.391054,87.5619,0.260630,91.3400
28,3.6041,0.379615,87.9352,0.251021,91.6400
29,3.5926,0.376608,88.0227,0.247597,91.6800
30,3.5841,0.368818,88.0973,0.240018,92.1000
31,3.6811,0.358424,88.5071,0.241667,92.1000
32,3.7220,0.352391,88.6673,0.227038,92.5400
33,3.7466,0.347427,88.8330,0.230855,92.3400
34,3.6065,0.343155,88.8895,0.217139,93.0000
35,3.6058,0.335812,89.2410,0.210007,92.9600
36,3.7302,0.328745,89.5105,0.215206,92.7400
37,3.5689,0.324767,89.7636,0.205770,93.0800
38,3.5832,0.319693,89.6598,0.203969,93.5600
39,3.6351,0.311917,90.0459,0.204364,93.4200
40,3.7898,0.308080,90.1005,0.195887,93.5800
41,3.6559,0.303520,90.2389,0.194566,93.6600
42,3.6351,0.297898,90.3974,0.188467,93.8600
43,3.6450,0.295662,90.4538,0.184719,93.9400
44,3.5569,0.290782,90.7197,0.187628,94.0600
45,3.5965,0.286686,90.8016,0.179779,94.2200
46,3.5876,0.278985,91.0566,0.178712,94.2400
47,3.7051,0.277085,91.1222,0.180158,94.3000
48,3.7079,0.274239,91.2223,0.175807,94.0800
49,3.6117,0.270568,91.4317,0.170344,94.6800
50,3.5599,0.264732,91.4135,0.168657,94.6200
