epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,10.4582,0.799008,73.3847,0.260350,92.3200
2,10.1500,0.247857,92.3441,0.149201,95.7000
3,10.4631,0.170349,94.8481,0.121239,96.2400
4,10.1536,0.135071,95.8770,0.086816,97.4000
5,10.0319,0.112919,96.5162,0.080993,97.5000
6,10.0310,0.098041,97.0043,0.070505,97.6600
7,10.1638,0.085060,97.3321,0.078876,97.5600
8,10.0598,0.077338,97.5889,0.060178,97.8400
9,10.4202,0.069179,97.8274,0.070610,97.9400
10,10.0505,0.064438,97.9804,0.067182,97.9600
11,10.0952,0.059605,98.0878,0.063486,97.8600
12,9.9753,0.053903,98.3301,0.053950,98.2600
13,10.2339,0.051289,98.3665,0.054895,98.3200
14,9.7903,0.047714,98.4375,0.060297,98.2800
15,10.4210,0.044075,98.5777,0.052851,98.4200
16,10.4485,0.043511,98.5632,0.056568,98.3000
17,10.0994,0.040123,98.6943,0.054143,98.3600
18,10.2820,0.038721,98.7580,0.059618,98.1800
19,10.0723,0.037648,98.7416,0.050449,98.4600
20,10.2289,0.033199,98.8837,0.053864,98.2800
21,9.9371,0.031549,98.9419,0.054386,98.4000
22,10.1935,0.031409,99.0002,0.056838,98.1800
23,10.1629,0.029011,99.0148,0.042969,98.8000
24,10.1341,0.027810,99.0712,0.058064,98.3000
25,10.0448,0.026944,99.0895,0.056739,98.3000
26,10.0888,0.025009,99.1495,0.060705,98.2800
27,10.4354,0.026620,99.0986,0.046347,98.7000
28,10.0404,0.023542,99.1841,0.056774,98.4800
29,10.0845,0.022878,99.2078,0.051545,98.5600
30,10.0242,0.020043,99.3189,0.051486,98.5000
31,10.3801,0.022343,99.2351,0.042450,98.9000
32,10.4329,0.017573,99.3863,0.058316,98.4600
33,10.4407,0.021126,99.2716,0.052254,98.5600
34,9.5941,0.019580,99.3426,0.046645,98.5800
35,10.2330,0.016936,99.4045,0.048639,98.6400
36,10.2858,0.019153,99.3426,0.053326,98.4600
37,10.2582,0.016908,99.4027,0.050368,98.7400
38,10.2490,0.015808,99.4719,0.062262,98.3000
39,10.3069,0.017460,99.4081,0.055757,98.5200
40,10.1433,0.016334,99.4610,0.044842,98.8000
41,10.2703,0.014390,99.5265,0.058245,98.4200
42,9.9352,0.015105,99.5101,0.060362,98.4000
43,9.7963,0.015917,99.4409,0.056880,98.6000
44,10.0980,0.015926,99.4446,0.049271,98.8000
45,10.0229,0.013558,99.5247,0.037732,98.9000
46,10.2372,0.011299,99.6467,0.044604,98.9000
47,10.1660,0.015288,99.4755,0.050093,98.7000
48,10.0983,0.014346,99.4883,0.050191,98.5600
49,10.0431,0.014369,99.5047,0.042578,99.0200
50,10.0035,0.011523,99.6194,0.050374,98.6200
