epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,5.7702,1.941016,26.2420,1.688867,31.8600
2,5.5153,1.542163,37.9589,1.368174,44.2000
3,5.6806,1.289595,50.7175,0.964317,64.5800
4,5.4792,0.814835,72.6981,0.560036,81.8400
5,5.6295,0.533704,82.8999,0.372421,89.5600
6,5.3550,0.392889,87.9516,0.274675,91.8000
7,5.5299,0.308635,90.5212,0.220812,93.5800
8,5.6976,0.274420,91.4591,0.187025,94.2400
9,5.4547,0.244669,92.4261,0.168487,95.2200
10,5.7181,0.224076,92.9669,0.155915,95.3000
11,5.5235,0.207041,93.5333,0.151360,95.5000
12,5.6542,0.192538,94.0031,0.136144,96.0600
13,5.4487,0.183465,94.2344,0.124739,96.3600
14,5.3669,0.171195,94.6405,0.123276,96.3200
15,5.6692,0.164933,94.8336,0.123952,96.3800
16,5.4412,0.153612,95.1686,0.104435,96.9000
17,5.6804,0.150945,95.2597,0.110308,96.7600
18,5.4022,0.145487,95.4363,0.099535,96.8800
19,5.5980,0.139650,95.5055,0.102609,96.8800
20,5.5449,0.135293,95.7277,0.100488,96.6400
21,5.5154,0.127430,95.9553,0.099350,96.9400
22,5.6611,0.125440,96.0027,0.095151,97.1000
23,5.3943,0.123180,96.0846,0.094042,97.0000
24,5.7501,0.119196,96.0974,0.101140,96.8000
25,5.4257,0.114634,96.2995,0.091155,97.2000
26,5.5015,0.114069,96.3542,0.088477,97.3200
27,5.6023,0.111196,96.3669,0.087476,97.3000
28,5.4733,0.109051,96.4707,0.079689,97.5400
29,5.6598,0.105526,96.6200,0.078532,97.6600
30,5.4795,0.102752,96.6638,0.078504,97.7200
31,5.5965,0.100377,96.8659,0.087090,97.5800
32,5.5362,0.100687,96.7639,0.079027,97.5000
33,165.9299,0.097512,96.9132,0.080847,97.5400
34,5.5900,0.095245,96.8659,0.074934,97.7000
35,5.6250,0.091319,97.0298,0.083809,97.4400
36,5.6887,0.092403,97.0262,0.073752,97.7000
37,5.6696,0.090222,97.0844,0.074934,97.8000
38,5.4482,0.087767,97.1755,0.073065,97.8800
39,5.6203,0.086741,97.2247,0.074704,97.6200
40,5.4906,0.085304,97.2410,0.072899,97.8800
41,5.7598,0.082924,97.4013,0.068992,97.9200
42,5.5105,0.082531,97.3193,0.068083,98.0200
43,5.4998,0.080641,97.4104,0.072175,97.8200
44,5.5724,0.078152,97.5324,0.071509,97.9200
45,5.6305,0.078327,97.4960,0.071462,97.8400
46,5.6972,0.075534,97.5251,0.066351,98.1200
47,5.6144,0.075604,97.5707,0.065957,98.0400
48,5.8689,0.074118,97.5579,0.066364,98.0800
49,5.5612,0.074466,97.5288,0.063049,98.2000
50,5.8452,0.070383,97.7163,0.069146,98.0800
