epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,25.1116,1.217015,55.8111,0.446175,85.3800
2,24.9065,0.330171,89.7163,0.207508,93.8200
3,24.8515,0.224354,93.0034,0.181633,94.5600
4,24.8883,0.172918,94.6296,0.121957,96.3400
5,24.8729,0.149077,95.3234,0.139919,95.9200
6,24.9098,0.130259,95.8953,0.103868,96.7000
7,24.8889,0.109801,96.6091,0.116612,96.7400
8,24.8771,0.103651,96.7147,0.094797,97.1000
9,24.8848,0.096043,97.0480,0.080205,97.6400
10,24.8645,0.085228,97.2647,0.072574,97.7800
11,24.8765,0.079216,97.4614,0.074134,97.7200
12,24.8503,0.073199,97.6599,0.090373,97.2800
13,24.9005,0.066950,97.8311,0.089819,97.3400
14,24.8793,0.060331,98.0715,0.066526,98.2400
15,24.8624,0.059209,98.0150,0.087512,97.3400
16,24.8713,0.053016,98.2590,0.068913,97.9200
17,24.8597,0.048226,98.4430,0.069118,97.9200
18,24.8478,0.048259,98.4594,0.060272,98.1800
19,24.8907,0.043320,98.5686,0.062722,98.2200
20,24.8741,0.041126,98.6451,0.053109,98.6000
21,24.8865,0.036388,98.7944,0.076803,97.6400
22,24.8430,0.039279,98.7343,0.060665,98.2400
23,24.8420,0.034469,98.8564,0.059759,98.3800
24,24.8832,0.032468,98.9019,0.058546,98.4200
25,24.8870,0.033459,98.8254,0.056947,98.3600
26,24.8771,0.028404,99.0530,0.052529,98.4600
27,24.8967,0.026259,99.0931,0.061835,98.5000
28,24.9085,0.028466,99.0421,0.059494,98.3200
29,24.8639,0.025419,99.1313,0.060954,98.2400
30,24.8719,0.024598,99.1969,0.054737,98.5200
31,24.9306,0.023072,99.2005,0.056236,98.5000
32,24.8538,0.021409,99.2588,0.053194,98.4200
33,24.8917,0.021013,99.2788,0.062874,98.3800
34,24.8937,0.020755,99.2916,0.055405,98.5000
35,24.8730,0.018846,99.3790,0.052808,98.6400
36,24.8963,0.018845,99.3972,0.071960,98.0200
37,24.8918,0.017728,99.4100,0.061478,98.2200
38,24.9008,0.016204,99.4537,0.062548,98.3600
39,24.8978,0.016302,99.4318,0.052708,98.6600
40,24.8993,0.016482,99.4446,0.048565,98.6600
41,24.8874,0.016543,99.4591,0.049170,98.5600
42,24.8554,0.015568,99.4646,0.061360,98.4200
43,24.8567,0.014397,99.5247,0.049781,98.6800
44,24.8521,0.012564,99.5757,0.053921,98.5400
45,24.9335,0.014509,99.5028,0.061771,98.4600
46,24.8935,0.011953,99.5793,0.063784,98.2800
47,24.8560,0.014537,99.5283,0.047873,98.6000
48,24.8637,0.013033,99.5192,0.053659,98.6800
49,24.8669,0.012529,99.5793,0.041799,98.9400
50,24.8650,0.008317,99.7378,0.059358,98.4600
