epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,5.0761,1.924652,27.1981,1.494446,42.1000
2,4.8525,1.214508,57.2152,0.913210,67.5000
3,4.7615,0.753294,74.9235,0.561828,82.2000
4,4.6984,0.523210,83.3807,0.372878,88.2600
5,4.9500,0.414775,86.9464,0.278537,91.3200
6,4.7036,0.364973,88.5526,0.250028,92.2000
7,4.7314,0.322536,89.8565,0.225890,92.9800
8,4.8009,0.297161,90.7561,0.203243,93.5800
9,4.7446,0.277308,91.2697,0.179619,94.3000
10,4.8532,0.256529,91.9325,0.170379,94.9600
11,4.7947,0.243408,92.2549,0.164694,95.0000
12,4.7746,0.233621,92.7229,0.154480,95.4000
13,4.9391,0.218442,93.3111,0.159036,94.9600
14,4.7406,0.210848,93.3002,0.171068,94.6600
15,4.8005,0.204112,93.5642,0.155967,94.9600
16,4.8733,0.196386,93.8083,0.132340,95.7800
17,4.8266,0.187862,94.0833,0.126546,95.9600
18,4.7276,0.178687,94.3455,0.139402,95.8200
19,4.8470,0.175533,94.4366,0.119126,96.1800
20,4.7776,0.168878,94.6332,0.112480,96.5000
21,4.9810,0.163080,94.9501,0.114505,96.2600
22,4.7180,0.161417,94.8663,0.113563,96.3600
23,4.7799,0.155349,95.0667,0.107157,96.5600
24,5.0545,0.151489,95.1577,0.099857,97.0200
25,4.8568,0.147193,95.3453,0.097144,96.8000
26,4.7694,0.140841,95.6676,0.099249,97.0000
27,4.8635,0.137735,95.6986,0.101888,96.9400
28,4.8901,0.135761,95.7004,0.101295,96.8200
29,5.0348,0.133523,95.7405,0.095464,96.9600
30,4.9384,0.129220,96.0009,0.088793,97.1800
31,4.8846,0.124915,96.0755,0.084294,97.3800
32,4.9457,0.121261,96.2067,0.089665,97.1800
33,4.7004,0.119466,96.1557,0.088537,97.0800
34,4.8399,0.116577,96.3086,0.091821,97.1800
35,4.9107,0.113163,96.4489,0.082609,97.4200
36,4.7735,0.114677,96.3778,0.079806,97.6800
37,4.8922,0.107130,96.5927,0.079220,97.4400
38,4.6907,0.106776,96.6255,0.086401,97.2800
39,4.7738,0.107246,96.5672,0.078844,97.4600
40,4.9511,0.103698,96.7220,0.074241,97.5600
41,4.7846,0.103856,96.6583,0.079377,97.5400
42,4.7948,0.102012,96.7166,0.075956,97.6800
43,4.9712,0.096888,96.9460,0.075289,97.6400
44,4.8849,0.096545,96.9041,0.076878,97.4600
45,4.8580,0.094263,97.0535,0.066048,98.0800
46,4.8919,0.092925,97.0061,0.069611,97.8200
47,4.7930,0.091635,97.0334,0.078750,97.5600
48,4.9019,0.088607,97.1882,0.071225,97.5000
49,4.7421,0.087744,97.1500,0.071902,97.7800
50,4.7951,0.086482,97.1791,0.064504,97.8800
