epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,5.1598,1.885390,27.4822,1.501105,41.1600
2,4.9068,1.238409,53.9099,0.878203,69.0400
3,4.8026,0.785919,73.6597,0.513325,83.7400
4,4.9148,0.522440,83.3752,0.343340,89.4000
5,4.9878,0.416026,87.0994,0.261508,92.1000
6,4.8374,0.348335,89.2719,0.224191,93.1600
7,4.8890,0.303975,90.6487,0.198617,93.8600
8,4.9552,0.276190,91.4317,0.181584,94.3800
9,4.8283,0.255919,92.0637,0.167218,94.5600
10,4.8203,0.234208,92.8194,0.161546,94.8400
11,4.7736,0.224387,93.0944,0.160940,94.8800
12,4.9043,0.212823,93.4696,0.155516,95.0000
13,5.0345,0.200209,93.8174,0.131133,95.8800
14,4.7049,0.191538,93.9121,0.129922,95.9200
15,4.8655,0.184997,94.2909,0.130512,96.0600
16,4.9070,0.175615,94.4529,0.118919,96.4000
17,4.7330,0.171819,94.6132,0.116550,96.3600
18,4.9762,0.165261,94.8700,0.113061,96.9200
19,4.7017,0.162152,94.9446,0.102480,96.8400
20,4.8448,0.156161,95.1195,0.107156,96.8000
21,4.9556,0.147460,95.3435,0.097207,97.1200
22,4.8260,0.146657,95.3744,0.110332,96.8000
23,4.8825,0.140246,95.6130,0.095369,97.0200
24,4.8934,0.138308,95.7095,0.099326,96.9400
25,4.8108,0.132657,95.8570,0.088549,97.2600
26,4.9415,0.126904,96.0591,0.088027,97.2400
27,4.8896,0.124497,96.0610,0.084537,97.3600
28,4.7558,0.122038,96.2158,0.088430,97.3400
29,5.0387,0.117667,96.3177,0.079634,97.6200
30,4.9276,0.118757,96.3250,0.082005,97.4000
31,4.8756,0.113716,96.3961,0.077403,97.7000
32,4.9062,0.111407,96.5399,0.080181,97.5800
33,4.6824,0.108949,96.5363,0.084160,97.3400
34,4.9869,0.104106,96.7220,0.078200,97.4800
35,4.7842,0.103935,96.7457,0.074108,97.6200
36,4.8454,0.103919,96.7366,0.076843,97.5800
37,4.9649,0.101760,96.8258,0.072023,97.6800
38,4.7238,0.095166,97.0389,0.072232,97.6200
39,5.0327,0.097082,96.8987,0.071094,97.8200
40,5.0185,0.094350,97.0134,0.069528,97.6400
41,4.9175,0.092269,97.0098,0.073686,97.7200
42,4.9526,0.089100,97.2174,0.068069,97.9000
43,4.8128,0.086720,97.2410,0.062403,98.1400
44,4.8787,0.089328,97.1136,0.069534,97.9400
45,5.0259,0.087267,97.2356,0.073259,97.7200
46,4.7412,0.086963,97.2064,0.062330,98.0400
47,4.8752,0.084035,97.3667,0.068775,97.8400
48,4.9407,0.081663,97.3813,0.065479,97.9600
49,4.8357,0.081575,97.3448,0.063789,97.9000
50,4.8972,0.077974,97.4942,0.062456,98.1000
