epoch,epoch_time_sec,train_loss,train_acc,val_loss,val_acc
1,497.8554,1.215264,55.5179,0.375594,88.3600
2,523.9027,0.339379,89.4231,0.235669,92.8000
3,671.6290,0.221102,93.1072,0.158197,95.2600
4,490.1098,0.173295,94.6751,0.113957,96.5800
5,482.2381,0.144372,95.5274,0.106089,96.5600
6,493.3742,0.124734,96.0573,0.121944,96.2200
7,486.9585,0.112937,96.4871,0.096099,97.0200
8,483.3269,0.100149,96.8732,0.083387,97.3000
9,494.9919,0.092718,97.0644,0.091909,97.1600
10,502.0604,0.083290,97.3813,0.081768,97.4600
11,508.4575,0.077881,97.5415,0.072054,97.7800
12,517.6360,0.073480,97.7054,0.082221,97.4200
13,517.0083,0.069311,97.8201,0.063130,98.0000
14,552.5311,0.063231,98.0095,0.074641,97.6800
15,515.4187,0.063199,97.9494,0.060189,98.2200
16,497.8502,0.058200,98.1152,0.075050,97.5600
